FILE	/private/tmp/oath-runtime-catalog/crops/legacy-ancestral-lands.jpg
0.269585	0.800738	0.412442	0.092251	1.000	Great Architect
0.269585	0.660517	0.433180	0.059041	1.000	IF YOU ARE AN IMPERIAL:
0.266667	0.566421	0.541667	0.066913	1.000	CHRONICLE (THRONE): You perform
0.271889	0.501845	0.488479	0.062731	1.000	Build Edifice and may build any
0.270833	0.439114	0.462500	0.060886	1.000	edifice (not just a matching one).
0.266667	0.353333	0.362500	0.060000	1.000	Do this even if the Iron
0.271889	0.280443	0.241935	0.062731	1.000	Hand is in play.
FILE	/private/tmp/oath-runtime-catalog/crops/legacy-arbiter.jpg
0.239631	0.793358	0.509217	0.099631	1.000	The Bright Beacon
0.241935	0.653137	0.543779	0.070111	1.000	CHRONICLE (BEACON): If you're
0.233333	0.573333	0.620833	0.073333	1.000	resolving the Beacon, you may take
0.239631	0.505535	0.619816	0.066421	1.000	any six cards from the Dispossessed
0.239631	0.431734	0.571429	0.066421	1.000	(instead of choosing suits and taking
0.233333	0.353333	0.470833	0.073333	1.000	from their matching dividers).
0.907834	0.047970	0.032258	0.029520	1.000	L24
FILE	/private/tmp/oath-runtime-catalog/crops/legacy-beloved.jpg
0.241607	0.772146	0.318629	0.105155	1.000	The Mouth
0.233333	0.640000	0.529167	0.066667	1.000	Set Foundation VI to Festival.
0.237500	0.546125	0.541667	0.067208	1.000	AcTIoN: Burn Me to activate a
0.239631	0.468635	0.527650	0.070111	1.000	dormant legacy if you meet its
0.239631	0.394834	0.605991	0.070111	1.000	goal. You can even activate legacies in
0.233333	0.319188	0.529167	0.074145	1.000	the Public Ambitions foundation.
0.907834	0.029520	0.032258	0.029520	1.000	134
FILE	/private/tmp/oath-runtime-catalog/crops/legacy-chronicler.jpg
0.241935	0.793358	0.315668	0.081181	1.000	Peacemaker
0.237500	0.645756	0.454167	0.060910	1.000	AcTIon: Return a banner
0.239631	0.568266	0.506912	0.070111	1.000	you hold to the shared bank.
0.241935	0.498155	0.264977	0.062731	1.000	Do not adjust its
0.237327	0.402214	0.539171	0.070111	1.000	If you do, remove all warbands
0.239631	0.328413	0.555300	0.070111	1.000	except the last (including bandits)
0.239631	0.247232	0.564516	0.077491	1.000	from each site and player board,
0.239631	0.180812	0.198157	0.047970	1.000	even yours.
0.907834	0.036900	0.032258	0.029520	1.000	L04
FILE	/private/tmp/oath-runtime-catalog/crops/legacy-circle-of-swords.jpg
0.276120	0.794141	0.235779	0.086995	1.000	Steadfast
0.271889	0.642066	0.550691	0.066421	1.000	CHRONICLE: Your other legacies
0.269585	0.579336	0.465438	0.059041	1.000	cannot become dormant-
0.269585	0.494465	0.394009	0.066421	1.000	they always stay active.
