FILE	/private/tmp/oath-runtime-catalog/crops/denizen-base-pre1-1-1.jpg
0.280443	0.847926	0.490775	0.048387	1.000	Pire Talkers
0.143911	0.080645	0.129151	0.059908	1.000	+3
0.811808	0.246544	0.081181	0.032258	0.300	lip*
0.434463	0.111102	0.437347	0.051990	1.000	if you hold the
0.439114	0.069124	0.439114	0.041475	1.000	Darkest Secret.
0.918819	0.025346	0.036900	0.018433	1.000	31
FILE	/private/tmp/oath-runtime-catalog/crops/denizen-base-pre1-1-2.jpg
0.280246	0.840342	0.498549	0.058947	1.000	Spirit Snare
0.184502	0.119816	0.398524	0.036866	1.000	AcTIoN: Take
0.678665	0.119328	0.151895	0.037843	1.000	from
0.217712	0.066820	0.579336	0.046083	1.000	any one favor bank.
0.915129	0.025346	0.036900	0.018433	1.000	33
FILE	/private/tmp/oath-runtime-catalog/crops/denizen-base-pre1-1-3.jpg
0.265683	0.843318	0.597786	0.055300	1.000	(izard School
0.162362	0.119816	0.405904	0.036866	1.000	AcTIoN: Gain
0.660517	0.112903	0.180812	0.043779	1.000	, then
0.206642	0.069124	0.590406	0.043779	1.000	end your Act Phase.
0.911439	0.025346	0.033210	0.016129	1.000	34
FILE	/private/tmp/oath-runtime-catalog/crops/denizen-base-pre1-1-4.jpg
0.110701	0.857143	0.033210	0.018433	1.000	*
0.265490	0.847510	0.266068	0.049219	1.000	Dazzle
0.221402	0.175115	0.546125	0.043779	1.000	WHEN PLAYED, discard
0.232472	0.142857	0.084871	0.029954	1.000	all (
0.383764	0.142857	0.099631	0.034562	1.000	and
0.568046	0.142329	0.196012	0.033315	1.000	cards at
0.254613	0.096774	0.479705	0.034562	1.000	sites in your region.
0.841328	0.062212	0.040590	0.016129	1.000	35
FILE	/private/tmp/oath-runtime-catalog/crops/denizen-base-pre1-1-5.jpg
0.276753	0.868664	0.619926	0.062212	1.000	Acting Troupe
0.140221	0.142857	0.752768	0.046083	1.000	Act as if Acting Troupe is
0.177122	0.103687	0.036900	0.027650	1.000	a
0.309963	0.103687	0.066421	0.025346	1.000	or
0.461017	0.102542	0.388716	0.043555	1.000	card instead.
0.922509	0.055300	0.036900	0.018433	1.000	36
FILE	/private/tmp/oath-runtime-catalog/crops/denizen-base-pre1-1-6.jpg
0.273063	0.870968	0.619926	0.057604	1.000	Taming Charm
0.169742	0.168203	0.450185	0.032258	1.000	ActIoN: Discard a
0.704797	0.168203	0.059041	0.020737	1.000	Or
0.169742	0.124424	0.564576	0.036866	1.000	card at your site to gain
0.132841	0.085253	0.760148	0.039171	1.000	from the matching favor bank.
0.915129	0.055300	0.040590	0.018433	1.000	37
FILE	/private/tmp/oath-runtime-catalog/crops/denizen-base-pre1-1-7.jpg
0.264769	0.867555	0.544262	0.066734	1.000	Secret Signal
0.154982	0.147465	0.590406	0.046083	1.000	If you gain only one
